,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.062494421005249025,0.03389574910949784,0.004800748825073242,0.003919797572219962,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.6,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.6, 'classifier__penalty': 'l1'}",0.8247559893522627,0.8300576752440106,0.8487633096716947,0.8704550766251543,0.8335117653618823,0.841508763251001,0.01653028933085771,1
12,0.08049101829528808,0.02435600813087474,0.002904367446899414,0.003588931742145547,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.7,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.7, 'classifier__penalty': 'l1'}",0.8245785270629992,0.8300133096716946,0.848641304347826,0.8705441109367522,0.8336567413850786,0.8414867986808702,0.016579232450732385,2
8,0.054281997680664065,0.013584481626351869,0.004804420471191406,0.003922794674268109,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.5,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.5, 'classifier__penalty': 'l1'}",0.8249001774622893,0.8300687666370896,0.8487189440993789,0.870388300891456,0.8333556373369019,0.8414863652854232,0.0164875953398118,3
16,0.05106897354125976,0.013097180230572207,0.008813858032226562,0.0012983160464839604,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.8999999999999999,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.8999999999999999, 'classifier__penalty': 'l1'}",0.8244343389529725,0.8298247559893522,0.8486523957409051,0.8706887916930988,0.8337013493922159,0.841460326353709,0.0166823350663453,4
14,0.09043564796447753,0.011955688699389028,0.0060065269470214845,0.003036778427572824,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.7999999999999999,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.7999999999999999, 'classifier__penalty': 'l1'}",0.8244454303460514,0.8298025732031944,0.848652395740905,0.8706331452483499,0.8337348053975688,0.8414536699872139,0.016660567646434976,5
18,0.06639418601989747,0.017274408543263887,0.005102205276489258,0.003258551242857268,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.9999999999999999,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.9999999999999999, 'classifier__penalty': 'l1'}",0.8244787045252884,0.8298358473824312,0.8485858473824311,0.8706776624041489,0.8336901973904316,0.8414536518169463,0.016663159655065575,6
38,0.16727404594421386,0.07198201054466835,0.01744189262390137,0.012929964977774634,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",2.0,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 2.0, 'classifier__penalty': 'l1'}",0.8243234250221827,0.8296472937000887,0.8487300354924578,0.8708779896052441,0.8335229173636667,0.841420332236728,0.016819412437376835,7
24,0.12839231491088868,0.05460265863547503,0.005065107345581054,0.003657458136248258,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.3,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.3, 'classifier__penalty': 'l1'}",0.8243456078083407,0.8297138420585626,0.8486191215616681,0.8707110502709982,0.8337013493922159,0.8414181942183572,0.01672088233678535,8
30,0.12422642707824708,0.05522193123065067,0.006603908538818359,0.0035438397163958745,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.5999999999999999,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.5999999999999999, 'classifier__penalty': 'l1'}",0.8242125110913932,0.8297138420585625,0.8487411268855368,0.870800084582596,0.8335786773725884,0.8414092483981352,0.01680122519226961,9
22,0.10468525886535644,0.021887007998452043,0.017595243453979493,0.02742706291616383,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.2,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.2, 'classifier__penalty': 'l1'}",0.8242901508429458,0.8297582076308785,0.8485303904170363,0.8707333088488975,0.8336790453886472,0.8413982206256811,0.016728280650125188,10
36,0.21186838150024415,0.055483591705378164,0.014622259140014648,0.022902447087414686,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.9,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.9, 'classifier__penalty': 'l1'}",0.8242568766637088,0.8296362023070099,0.8487300354924578,0.8708334724494451,0.8335340693654512,0.8413981312556146,0.016817878474553988,11
