,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,3.813161754608154,0.1531233751544453,0.19168076515197754,0.004790391316055417,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,10,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 1000}",0.8275621118012423,0.8358362910381544,0.8561723602484472,0.8696203799539246,0.8393331102932977,0.8457048506670132,0.015156964181527005,1
11,4.07524151802063,0.06739952046309218,0.2146087646484375,0.019043156639581702,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,8,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 1000}",0.8269853593611358,0.8351597160603372,0.8548192102928128,0.8684295460363037,0.8395896063343371,0.8449966876169853,0.01480534557759729,2
29,5.461387062072754,0.22766801588981087,0.24484720230102539,0.012954379275681306,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,10,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 1000}",0.8277284826974267,0.8349489795918368,0.8529003992901509,0.8685853560815999,0.8378610460577673,0.8444048527437564,0.014609635955247684,3
10,0.4636714935302734,0.08568435439500847,0.027115249633789064,0.00566009386013706,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,8,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 100}",0.826702528837622,0.8345940550133097,0.8537433451641526,0.8676727543877222,0.8388424222147877,0.8443110211235189,0.014622744769087098,4
13,0.41071343421936035,0.03278442220015215,0.033204841613769534,0.014257443896418606,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,10,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 100}",0.8266359804791481,0.8339008429458741,0.8514696095829636,0.868218089546259,0.8411620385859261,0.8442773122280341,0.014515389008535972,5
8,4.249490976333618,0.09822476768773304,0.20925331115722656,0.008126670846880183,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,6,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 6, 'classifier__n_estimators': 1000}",0.8274401064773735,0.833695652173913,0.8531222271517303,0.8673277464302805,0.838162150105944,0.8439495764678483,0.014435208471286438,6
28,0.5581385135650635,0.04433480925378398,0.03184976577758789,0.006948071742081976,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,10,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 100}",0.8246395297249334,0.8354370008873114,0.8519132653061223,0.8673166171413308,0.8399130143860823,0.8438438854891561,0.01463570127122041,7
26,5.605714511871338,0.12017535079445298,0.26254868507385254,0.029548240713211812,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",6,8,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 6, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 1000}",0.8275066548358475,0.8342280390417036,0.8521794587400177,0.86693822131704,0.8377160700345712,0.843713688793836,0.014139767349005714,8
44,7.707359075546265,0.540308896051933,0.5858637809753418,0.44138473442964704,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",8,10,1000,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 8, 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 1000}",0.8266304347826087,0.8346051464063886,0.8515361579414376,0.8682626067020578,0.8357644697223152,0.8433597631109617,0.01484053417480564,9
7,0.4256136417388916,0.015312976771456868,0.03484816551208496,0.008343457268040238,"RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True)",4,6,100,"{'classifier': RandomForestClassifier(max_features=4, min_samples_leaf=10, n_estimators=1000,
                       oob_score=True), 'classifier__max_features': 4, 'classifier__min_samples_leaf': 6, 'classifier__n_estimators': 100}",0.8261479591836736,0.8344165927240461,0.8518023513753327,0.8655359309093742,0.8370023419203747,0.8429810352225603,0.013992754095982081,10
